RUNNER,AGE,GENDER,EVENT COUNT
0,N/A,N/A,0
1,N/A,N/A,7
2,N/A,N/A,3
3,N/A,N/A,0
4,N/A,N/A,1
5,N/A,N/A,0
6,N/A,N/A,1
7,N/A,N/A,0
8,N/A,N/A,0
9,N/A,N/A,0
10,N/A,N/A,0
11,N/A,N/A,3
12,N/A,N/A,1
13,N/A,N/A,1
14,N/A,N/A,1
15,N/A,N/A,0
16,N/A,N/A,1
17,N/A,N/A,9
18,N/A,N/A,8
19,N/A,N/A,0
20,N/A,N/A,0
21,N/A,N/A,1
22,N/A,N/A,3
23,N/A,N/A,3
24,N/A,N/A,0
25,N/A,N/A,4
26,N/A,N/A,0
27,N/A,N/A,0
28,N/A,N/A,1
29,N/A,N/A,1
30,N/A,N/A,0
31,N/A,N/A,0
32,N/A,N/A,0
33,N/A,N/A,1
34,N/A,N/A,4
35,N/A,N/A,0
36,N/A,N/A,0
37,N/A,N/A,0
38,N/A,N/A,0
39,N/A,N/A,0
40,N/A,N/A,9
41,N/A,N/A,1
42,N/A,N/A,1
43,N/A,N/A,2
44,N/A,N/A,1
45,N/A,N/A,0
46,N/A,N/A,15
47,N/A,N/A,0
48,N/A,N/A,5
49,N/A,N/A,0
50,N/A,N/A,0
51,N/A,N/A,0
52,N/A,N/A,5
53,N/A,N/A,7
54,N/A,N/A,0
55,N/A,N/A,1
56,N/A,N/A,1
57,N/A,N/A,0
58,N/A,N/A,1
59,N/A,N/A,2
60,N/A,N/A,1
61,N/A,N/A,3
62,N/A,N/A,0
63,N/A,N/A,0
64,N/A,N/A,3
65,N/A,N/A,5
66,N/A,N/A,7
67,N/A,N/A,0
68,N/A,N/A,1
69,N/A,N/A,2
70,N/A,N/A,0
71,N/A,N/A,0
72,N/A,N/A,0
73,N/A,N/A,0
74,N/A,N/A,0
75,N/A,N/A,0
76,N/A,N/A,1
77,N/A,N/A,0
78,N/A,N/A,0
79,N/A,N/A,0
80,N/A,N/A,0
81,N/A,N/A,2
82,N/A,N/A,1
83,N/A,N/A,1
84,N/A,N/A,5
85,N/A,N/A,2
86,N/A,N/A,1
87,N/A,N/A,0
88,N/A,N/A,0
89,N/A,N/A,0
90,N/A,N/A,0
91,N/A,N/A,1
92,N/A,N/A,4
93,N/A,N/A,2
94,N/A,N/A,1
95,N/A,N/A,0
96,N/A,N/A,6
97,N/A,N/A,1
98,N/A,N/A,1
99,N/A,N/A,0
100,N/A,N/A,3
101,N/A,N/A,1
102,N/A,N/A,1
103,N/A,N/A,3
104,N/A,N/A,7
105,N/A,N/A,3
106,N/A,N/A,4
107,N/A,N/A,1
108,N/A,N/A,1
109,N/A,N/A,0
110,N/A,N/A,0
111,N/A,N/A,1
112,N/A,N/A,0
113,N/A,N/A,0
114,N/A,N/A,13
115,N/A,N/A,0
116,N/A,N/A,1
117,N/A,N/A,1
118,N/A,N/A,0
119,N/A,N/A,0
120,N/A,N/A,2
121,N/A,N/A,5
122,N/A,N/A,5
123,N/A,N/A,1
124,N/A,N/A,0
125,N/A,N/A,2
126,N/A,N/A,1
127,N/A,N/A,2
128,N/A,N/A,3
129,N/A,N/A,2
130,N/A,N/A,1
131,N/A,N/A,1
132,N/A,N/A,13
133,N/A,N/A,1
134,N/A,N/A,1
135,N/A,N/A,0
136,N/A,N/A,0
137,N/A,N/A,6
138,N/A,N/A,0
139,N/A,N/A,0
140,N/A,N/A,8
141,N/A,N/A,2
142,N/A,N/A,3
143,N/A,N/A,0
144,N/A,N/A,0
145,N/A,N/A,7
146,N/A,N/A,0
147,N/A,N/A,0
148,N/A,N/A,2
149,N/A,N/A,1
150,N/A,N/A,1
151,N/A,N/A,0
152,N/A,N/A,1
153,N/A,N/A,1
154,N/A,N/A,0
155,N/A,N/A,0
156,N/A,N/A,0
157,N/A,N/A,16
158,N/A,N/A,0
159,N/A,N/A,1
160,N/A,N/A,1
161,N/A,N/A,1
162,N/A,N/A,4
163,N/A,N/A,0
164,N/A,N/A,0
165,N/A,N/A,2
166,N/A,N/A,0
167,N/A,N/A,1
168,N/A,N/A,3
169,N/A,N/A,1
170,N/A,N/A,7
171,N/A,N/A,3
172,N/A,N/A,16
173,N/A,N/A,1
174,N/A,N/A,0
175,N/A,N/A,0
176,N/A,N/A,1
177,N/A,N/A,0
178,N/A,N/A,0
179,N/A,N/A,0
180,N/A,N/A,0
181,N/A,N/A,7
182,N/A,N/A,0
183,N/A,N/A,1
184,N/A,N/A,0
185,N/A,N/A,7
186,N/A,N/A,2
187,N/A,N/A,4
188,N/A,N/A,0
189,N/A,N/A,5
190,N/A,N/A,3
191,N/A,N/A,1
192,N/A,N/A,2
193,N/A,N/A,2
194,N/A,N/A,4
195,N/A,N/A,0
196,N/A,N/A,1
197,N/A,N/A,6
198,N/A,N/A,5
199,N/A,N/A,1
200,N/A,N/A,0
201,N/A,N/A,0
202,N/A,N/A,8
203,N/A,N/A,3
204,N/A,N/A,0
205,N/A,N/A,4
206,N/A,N/A,2
207,N/A,N/A,12
208,N/A,N/A,2
209,N/A,N/A,0
210,N/A,N/A,2
211,N/A,N/A,0
212,N/A,N/A,4
213,N/A,N/A,0
214,N/A,N/A,3
215,N/A,N/A,1
216,N/A,N/A,1
217,N/A,N/A,4
218,N/A,N/A,1
219,N/A,N/A,0
220,N/A,N/A,1
221,N/A,N/A,3
222,N/A,N/A,2
223,N/A,N/A,1
224,N/A,N/A,1
