RUNNER,GENDER,AGE,RAN 2011,RAN 2012,RAN 2013,RAN 2014,RAN 2015,EVENT COUNT,AVG_DIST,RUN_RATIO,TIME_WEIGHT,TOTAL DISTANCE,PERFORMANCE,AVG SPEED
7165,F,38,0,0,0,1,1,2,21.04875,1.0,1.0,84.2925,2666.52253125,2.12988451253
452,F,24,0,0,1,0,0,1,42.195,1.0,2.0,42.195,1780.418025,2.76997308475
107,M,51,0,1,0,0,0,1,42.195,1.0,3.0,42.195,1780.418025,2.90879636013
5480,M,22,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,2.05568547208
7275,F,34,0,1,1,1,0,10,16.6585,1.0,2.3,166.585,3910.83605,2.78716371294
8312,F,30,0,0,1,0,0,1,42.195,1.0,2.0,42.195,1780.418025,2.13548256491
6471,F,31,0,1,0,0,0,1,42.195,1.0,3.0,42.195,1780.418025,2.57443563148
3505,M,49,0,0,1,1,0,2,31.64625,1.0,1.5,63.2925,2225.52253125,3.32107965557
282,M,39,0,1,1,1,1,3,42.195,0.666666666667,2.0,165.78,7124.6721,1.43874427779
4292,F,30,0,0,1,0,0,1,42.195,1.0,2.0,42.195,1780.418025,2.76652242329
3465,F,36,0,1,0,0,0,1,42.195,1.0,3.0,42.195,1780.418025,2.9531774916
6586,M,45,0,1,1,1,1,3,24.4308333333,1.0,2.0,94.39,2770.6270375,1.53226589056
1462,M,50,0,1,1,0,0,3,42.195,0.333333333333,2.66666666667,40.195,1782.418025,0.835628310749
5635,M,32,0,1,0,1,0,2,10.0,1.0,2.0,20.0,200.0,2.85067203034
2266,M,21,0,1,1,0,0,7,14.5992857143,1.0,2.71428571429,102.195,2530.418025,3.00058096241
6264,M,36,0,0,1,1,0,2,3.0,1.0,1.5,6.0,26.0,2.62708434793
5947,F,22,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,2.45020614366
5590,M,23,0,0,0,1,1,1,None,0.0,1.0,51.195,1881.418025,1.92571087204
753,M,46,0,1,1,0,1,2,21.0975,0.5,2.5,91.195,3391.2090125,2.36455633149
2111,M,24,0,1,1,0,0,2,31.64625,1.0,2.5,63.2925,2225.52253125,2.82010471455
8563,F,23,0,0,0,1,0,2,31.5975,1.0,1.0,63.195,2221.418025,2.39881898926
1219,M,36,0,1,0,1,0,2,31.64625,1.0,2.0,63.2925,2225.52253125,2.90031856432
2180,M,48,0,0,0,1,1,3,42.195,0.333333333333,1.0,103.4875,4007.94055625,0.34060939061
2542,M,38,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,2.70654265555
1701,M,41,0,1,0,0,0,1,42.195,1.0,3.0,42.195,1780.418025,2.634223998
4315,M,48,0,1,1,1,1,20,19.2211111111,0.9,1.9,461.175,16834.930125,3.26456967867
7670,M,43,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,0.0
1665,F,44,0,0,1,0,1,1,None,0.0,2.0,41.195,1781.418025,1.35593779554
4223,F,45,0,0,1,0,0,1,42.195,1.0,2.0,42.195,1780.418025,2.13321536906
6713,M,49,0,1,1,1,1,6,31.64625,0.666666666667,1.83333333333,122.585,4455.0450625,1.63917596794
4462,M,43,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,2.5910346945
8616,M,28,0,0,0,1,0,4,30.7316666667,0.75,1.0,91.195,3081.418025,2.75186924443
6248,M,58,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,2.46538124452
690,M,44,0,0,1,1,1,3,24.4308333333,1.0,1.66666666667,78.2925,2350.52253125,2.14452430213
1227,F,30,0,0,1,0,0,2,22.1475,1.0,2.0,44.295,1784.828025,2.07082546866
1941,F,42,0,0,1,0,0,2,23.5975,1.0,2.0,47.195,1805.418025,1.6518875361
6764,M,58,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,2.94308432727
2989,M,44,0,0,1,0,1,1,None,0.0,2.0,62.2925,2226.52253125,2.06699298024
716,M,31,0,0,1,0,1,1,21.0975,1.0,2.0,31.0975,545.10450625,3.48782618989
1405,F,28,0,0,0,1,0,2,31.64625,1.0,1.0,63.2925,2225.52253125,2.62023820257
3925,M,55,0,0,1,0,0,3,31.64625,0.666666666667,2.0,62.2925,2226.52253125,1.63797012937
6466,M,41,0,1,1,1,1,23,16.9326190476,0.913043478261,1.95652173913,426.8775,11017.5675937,3.88578073319
3696,M,49,0,1,1,1,1,14,20.08125,0.428571428571,1.78571428571,104.4875,3256.73154375,0.756075387519
2992,M,53,0,1,1,0,0,3,31.5975,0.666666666667,2.66666666667,62.195,2222.418025,1.96604207008
8482,M,45,0,0,0,1,1,1,42.195,1.0,1.0,41.195,1781.418025,0.946076233184
6233,M,40,0,1,1,0,0,5,33.756,1.0,2.4,168.78,6231.4630875,3.30316458483
