RUNNER,NAME,TYPE,DATE,DISTANCE,CATEGORY
7165,Marathon Oasis Rock ‘n’ Roll de Montréal,half marathon,2014-09-28,21.0975,F35-39
7165,Banque Scotia 21km et 5km,21km,2014-04-27,21.0,F35-39
452,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,F18-24
107,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,M45-49
5480,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,M18-24
7275,Marathon Oasis Rock ‘n’ Roll de Montréal,half marathon,2014-09-28,21.0975,M30-34
7275,Oka Road Race,10km,2013-11-03,10.0,F30-39
7275,Marathon Oasis de Montreal,half marathon,2013-09-22,21.0975,F30-34
7275,La Grande Viree des Sentiers St-Bruno,10km,2013-06-09,10.0,F30-39
7275,Goodlife Toronto Marathon, Half Marathon, and 5k,half marathon,2013-05-05,21.0975,F30-34
7275,Banque Scotia 21km et 5km,5km,2013-04-28,5.0,F30-34
7275,Oka Road Race,10km course,2012-11-04,10.0,F30-39
7275,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,F30-34
7275,Ottawa Race Weekend,half marathon,2012-05-27,21.0975,F30-34
7275,Banque Scotia 21km et 5km,5km,2012-04-29,5.0,F30-34
8312,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,F25-29
6471,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,F25-29
3505,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,M45-49
3505,Marathon Oasis de Montreal,half marathon,2013-09-22,21.0975,M45-49
282,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,M35-39
282,Ottawa Race Weekend,ottawa marathon,2013-05-26,-1,M35-39
282,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,M35-39
4292,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,F25-29
3465,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,F30-34
6586,Marathon SSQ Lévis-Québec,half marathon,2014-08-24,21.0975,M40-49
6586,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,M40-44
6586,Course du Fort de Chambly,10km,2012-05-06,10.0,M40-49
1462,Ottawa Race Weekend,ottawa marathon,2013-05-26,-1,M45-49
1462,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,M45-49
1462,Banque Scotia 21km et 5km,21,1km,2012-04-29,-1,M45-49
5635,Marathon Oasis Rock ‘n’ Roll de Montréal,10km,2014-09-28,10.0,M30-34
5635,Défi course et marche Desjardins Sainte Thérèse,10km,2012-05-06,10.0,M20-29
2266,Course et marche populaires de LaSalle,10km,2013-03-24,10.0,M16-17
2266,Défi Hivernal Ile Bizard,5km,2013-02-17,5.0,M16-17
2266,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,M18-24
2266,Tour du Lac Brome,20km route,2012-06-17,20.0,M-JUN
2266,La Grande Viree des Sentiers St-Bruno,10km,2012-06-10,10.0,M-JUN
2266,Course et marche populaires de LaSalle,10km,2012-03-25,10.0,M16-19
2266,Défi Hivernal Ile Bizard,5km,2012-02-19,5.0,M16-17
6264,A votre rythme,5km,2014-06-08,5.0,M30-39
6264,Marathon Oasis de Montreal,1km p'tit marathon,2013-09-22,1.0,M13+
5947,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,F18-24
5590,Triathlon de Valleyfield,triathlon olympic,2014-08-24,-1,M20-24
753,Ottawa Race Weekend,ottawa marathon,2013-05-26,-1,M40-44
753,Ottawa Beat Beethoven,half marathon,2012-10-27,21.0975,M40-44
2111,Marathon Oasis de Montreal,half marathon,2013-09-22,21.0975,M18-24
2111,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,M18-24
8563,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,F18-24
8563,Course d'ete des iles de Boucherville,21km (course),2014-06-01,21.0,F20-29
1219,Demi Marathon Hypothermique,half marathon,2014-02-16,21.0975,M30-39
1219,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,M30-34
2180,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,M45-49
2180,Granfondo Garneau-Cascades,gran fondo,2014-08-10,-1,M40-49
2180,Granfondo Garneau-Cascades,kming of the mountain,2014-08-10,-1,M40-49
2542,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,M35-39
1701,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,M35-39
4315,Scotiabank Toronto Waterfront Marathon,marathon,2014-10-19,42.195,M45-49
4315,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,M45-49
4315,La Grande Viree des Sentiers St-Bruno,20km,2014-06-08,20.0,M40-49
4315,Tamarack Ottawa Race Weekend,scotiabankm ottawa marathon,2014-05-25,-1,M45-49
4315,Course Saint-Laurent,5km,2014-04-13,5.0,M40-49
4315,Défi Hivernal Ile Bizard,10km,2014-02-16,10.0,M40-49
4315,Marathon de Rimouski,42.2km,2013-10-06,42.2,M40-49
4315,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,M45-49
4315,La Grande Vadrouille,5km,2013-09-15,5.0,M40-49
4315,Le 5km Endurance,5km,2013-08-14,5.0,M40-49
4315,La Grande Viree des Sentiers St-Bruno,20km,2013-06-09,20.0,M40-49
4315,Ottawa Race Weekend,ottawa marathon,2013-05-26,-1,M45-49
4315,Goodlife Toronto Marathon, Half Marathon, and 5k,marathon,2013-05-05,42.195,M45-49
4315,Course Saint-Laurent,10km,2013-04-14,10.0,M40-49
4315,Course et marche populaires de LaSalle,10km,2013-03-24,10.0,M40-49
4315,Défi Hivernal Ile Bizard,10km,2013-02-17,10.0,M40-49
4315,Le 5km Endurance,5km,2012-08-15,5.0,M40-49
4315,La Grande Viree des Sentiers St-Bruno,20km,2012-06-10,20.0,M40-49
4315,Défi course et marche Desjardins Sainte Thérèse,10km,2012-05-06,10.0,M40-49
4315,Course et marche populaires de LaSalle,5km,2012-03-25,5.0,M40-49
7670,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,M40-44
1665,Army Run - Course de l'armee,half marathon   half marathon,2013-09-22,-1,F40-44
4223,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,F40-44
6713,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,M45-49
6713,Tamarack Ottawa Race Weekend,scotiabankm ottawa marathon,2014-05-25,-1,M45-49
6713,Winterman Marathon and Marathon Relays,half marathon,2014-02-16,21.0975,M45-49
6713,Ottawa Race Weekend,ottawa marathon,2013-05-26,-1,M45-49
6713,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,M45-49
6713,Ottawa Race Weekend,half marathon,2012-05-27,21.0975,M45-49
4462,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,M40-44
8616,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,M25-29
8616,Coupe Dix30,30km,2014-09-07,30.0,M20-29
8616,Tour du Lac Brome,20km route,2014-06-15,20.0,M20-29
8616,Tamarack Ottawa Race Weekend,scotiabankm ottawa marathon,2014-05-25,-1,M25-29
6248,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,M55-59
690,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,M50-54
690,Classique Du Parc La Fontaine,10km,2013-10-06,10.0,M30-39
690,Marathon Oasis de Montreal,half marathon,2013-09-22,21.0975,M30-34
1227,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,F25-29
1227,Across The Lake Swim,2.1km swim,2013-07-20,2.1,F25-34
1941,Montreal CIBC Run for the Cure,5km marche,2013-10-06,5.0,F40-59
1941,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,F35-39
6764,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,M55-59
2989,Ottawa Race Weekend,ottawa marathon,2013-05-26,-1,M40-44
716,Marathon Oasis de Montreal,half marathon,2013-09-22,21.0975,M25-29
1405,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,F25-29
1405,Demi Marathon de Sherbrooke,half marathon,2014-06-28,21.0975,F20-29
3925,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,M50-54
3925,Marathon des Deux Rives Lévis-Québec,half marathon,2013-08-25,21.0975,M50-59
3925,Ottawa Race Weekend,ottawa half marathon   half marathon,2013-05-26,-1,M50-54
6466,Course d'Oka Race,5km,2014-11-02,5.0,M40-49
6466,Coupe Dix30,21km,2014-10-05,21.0,M40-49
6466,Demi-marathon Granby,half marathon course,2014-09-14,-1,M30-39
6466,Coupe Dix30,30km,2014-09-07,30.0,M40-49
6466,Le 5km Endurance,5km,2014-08-13,5.0,M40-49
6466,Défi Boréal Sainte-Anne-de-Bellevue,20km,2014-08-03,20.0,M40-49
6466,Banque Scotia 21km et 5km,21km,2014-04-27,21.0,M35-39
6466,Défi Hivernal Ile Bizard,10km,2014-02-16,10.0,M40-49
6466,Oka Road Race,10km,2013-11-03,10.0,M30-39
6466,Classique Du Parc La Fontaine,5km,2013-10-06,5.0,M30-39
6466,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,M35-39
6466,Défi Boréal Sainte-Anne-de-Bellevue,20km,2013-08-04,20.0,M30-39
6466,Festi-beach du Lac a la Tortue,21km,2013-07-27,21.0,M30-39
6466,Ottawa Race Weekend,ottawa marathon,2013-05-26,-1,M35-39
6466,Au rythme de nos foulées Châteauguay,half marathon,2013-05-12,21.0975,M30-39
6466,Demi Marathon Hypothermique,half marathon,2013-02-17,21.0975,M30-39
6466,Scotiabank Toronto Waterfront Marathon,marathon,2012-10-14,42.195,M35-39
6466,Le 5km Endurance,5km,2012-08-15,5.0,M30-39
6466,Demi-Marathon Marcel Jobin,21km,2012-07-14,21.0,M30-39
6466,Tour du Lac Brome,20km route,2012-06-17,20.0,M30-39
6466,Course Saint-Laurent,5km,2012-04-22,5.0,M30-39
6466,Course et marche populaires de LaSalle,5km,2012-03-25,5.0,M30-39
6466,Défi Hivernal Ile Bizard,5km,2012-02-19,5.0,M30-39
3696,Ironman 70.3 Muskoka,individual results,2014-09-07,-1,M45-49
3696,Triathlon Ste-Agathe,triathlon sprint,2014-08-03,-1,M45-49
3696,Ironman Mont-Tremblant 70.3,overall,2014-06-22,-1,M45-49
3696,Triathlon FBL Drummondville,triathlon olympic,2014-06-14,-1,M45-49
3696,Triathlon / Duathlon Mont-Tremblant,ironman 5150  triathlon olympic,2014-06-08,-1,M40-49
3696,Des Chenes Toi,10km   physio sante,2014-05-18,10.0,M18+
3696,Oka Road Race,half marathon,2013-11-03,21.0975,M40-49
3696,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,M45-49
3696,Triathlon Esprit de Montreal,duathlon olympic,2013-09-07,-1,M45-49
3696,Triathlon Ste-Agathe,sprint triathlon,2013-08-04,5.0,M45-49
3696,Triathlon / Duathlon Mont-Tremblant,duathlon olympic,2013-06-08,-1,M40-49
3696,Marathon Oasis de Montreal,half marathon,2012-09-23,21.0975,M45-49
3696,Triathlon Ste-Agathe,triathlon,2012-08-05,-1,M45-49
3696,Ottawa Race Weekend,half marathon,2012-05-27,21.0975,M45-49
2992,Banque Scotia 21km et 5km,21km,2013-04-28,21.0,M50-54
2992,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,M45-49
2992,Banque Scotia 21km et 5km,21,1km,2012-04-29,-1,M45-49
8482,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,M40-44
6233,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,M35-39
6233,Marathon des Deux Rives Lévis-Québec,marathon,2013-08-25,42.195,M30-39
6233,Course de la Fondation hopital Saint Jerome,half marathon,2013-05-11,21.0975,M30-39
6233,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,M35-39
6233,Marathon des Deux Rives Lévis-Québec,half marathon,2012-08-26,21.0975,M30-39
7931,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,F35-39
6669,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,F50-54
6669,Ottawa Race Weekend,ottawa marathon,2013-05-26,-1,F50-54
6669,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,F50-54
7661,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,M45-49
7661,Marathon Oasis de Montreal,half marathon,2013-09-22,21.0975,M45-49
7661,Ottawa Race Weekend,ottawa marathon,2013-05-26,-1,M45-49
7661,Banque Scotia 21km et 5km,21,1km,2012-04-29,-1,M40-44
3891,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,M55-59
3891,Banque Scotia 21km et 5km,21,1km,2012-04-29,-1,M55-59
3830,Course de la Fondation hopital Saint Jerome,5km course,2014-05-10,5.0,F40-49
3830,Marathon Oasis de Montreal,half marathon,2013-09-22,21.0975,F45-49
3830,Ottawa Race Weekend,ottawa marathon,2013-05-26,-1,F45-49
3830,Course de la Fondation hopital Saint Jerome,10km,2013-05-11,10.0,F40-49
3830,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,F45-49
3830,Course de la Fondation hopital Saint Jerome,10km,2012-05-12,10.0,F40-49
1228,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,F25-29
6720,Marathon Oasis Rock ‘n’ Roll de Montréal,half marathon,2014-09-28,21.0975,M40-44
91,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,M40-44
2501,Marathon Oasis Rock ‘n’ Roll de Montréal,half marathon,2014-09-28,21.0975,M45-49
2501,Marathon SSQ Lévis-Québec,half marathon,2014-08-24,21.0975,M40-49
2501,Demi Marathon de Sherbrooke,10km,2014-06-28,10.0,M40-49
2501,Marathon Oasis de Montreal,half marathon,2013-09-22,21.0975,M45-49
2501,Marathon des Deux Rives Lévis-Québec,half marathon,2013-08-25,21.0975,M40-49
2501,Demi Marathon de Sherbrooke,10km,2013-06-29,10.0,M40-49
2501,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,M45-49
2501,Marathon des Deux Rives Lévis-Québec,half marathon,2012-08-26,21.0975,M40-49
2501,Demi Marathon de Sherbrooke,half marathon,2012-06-30,21.0975,M40-49
5787,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,F55-59
7795,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,F40-44
5641,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,M50-54
4332,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,M35-39
5814,Marathon Oasis Rock ‘n’ Roll de Montréal,half marathon,2014-09-28,21.0975,M40-44
5814,Vert le Raid - Demi-Marathon de l'Isle-aux-Coudres,23.5km the north face,2014-08-02,23.5,M30-49
5814,Triathlon Charlevoix,triathlon olympic,2014-07-27,-1,M40-44
5814,Triathlon du Lac-Delage,triathlon sprint,2014-07-12,-1,M40-44
5814,Triathlon/Duathlon Trois-Rivieres,triathlon sprint,2014-06-21,-1,M40-44
5814,Triathlon Lac Beauport,triathlon,2014-06-15,-1,M40-44
5814,Triathlon Lac Beauport,triathlon,2014-06-15,-1,M40-44
5814,Tour du Mont Valin,20km classique,2014-03-15,20.0,M50-59
5814,Tour du Mont Valin,45km style libre,2014-03-15,45.0,M40-49
5814,Gatineau Loppet,51km style libre/ freestyle,2014-02-16,51.0,M40-44
5814,Ironman Mont-Tremblant,overall results,2013-08-18,-1,M40-44
5814,Vert le Raid - Demi-Marathon de l'Isle-aux-Coudres,23km,2013-08-03,23.0,M40-49
